"Produto","Mes","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Escova","Agosto","","","","",""
"Oculos","Agosto","","","","",""
"Creme","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Corta Vento","Agosto","","","","",""
"Creme","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Creme","Agosto","","","","",""
"Creme","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Camiseta","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Agosto","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Creme","Setembro","","","","",""
"Creme","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Chinelo","Setembro","","","","",""
"Chinelo","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Oculos","Setembro","","","","",""
"Creme","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Chinelo","Setembro","","","","",""
"Chinelo","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Camiseta","Setembro","","","","",""
"Camiseta","Setembro","","","","",""
"Chinelo","Setembro","","","","",""
"Chinelo","Setembro","","","","",""
"Chinelo","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Oculos","Setembro","","","","",""
"Creme","Setembro","","","","",""
"Corta Vento","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Creme","Setembro","","","","",""
"Creme","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Oculos","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Tenis","Setembro","","","","",""
"Chinelo","Setembro","","","","",""
"Tenis","Setembro","","","","",""
